t;p;b;bi;;;
1;15177,00;1798,00;13957,00;;;
2;15479,00;1630,00;13838,00;;;
3;15681,00;1576,00;13706,00;;;
4;15557,00;1597,00;13826,00;;;
5;15359,00;1714,00;13915,00;;;
6;15580,00;1624,00;13788,00;;;
7;15697,00;1614,00;13695,00;;;
8;15613,00;1682,00;13729,00;;;
9;15398,00;1809,00;13825,00;;;
10;15607,00;1713,00;13712,00;;;
11;15722,00;1718,00;13599,00;;;
12;15636,00;1757,00;13656,00;;;
13;15291,00;1944,00;13812,00;;;
14;15530,00;1812,00;13692,00;;;
15;15738,00;1714,00;13579,00;;;
16;15713,00;1700,00;13621,00;;;
17;15573,00;1846,00;13613,00;;;
18;15793,00;1585,00;13589,00;;;
19;16063,00;1426,00;13480,00;;;
20;16018,00;1410,00;13543,00;;;
21;15837,00;1494,00;13632,00;;;
22;15986,00;1281,00;13695,00;;;
23;16234,00;1232,00;13496,00;;;
24;16280,00;1210,00;13473,00;;;
25;16012,00;1203,00;13495,00;;;
26;16182,00;1066,00;13462,00;;;
27;16266,00;1027,00;13403,00;;;
28;16328,00;958,00;13410,00;;;
29;16281,00;926,00;13405,00;;;
30;16496,00;863,00;13254,00;;;
31;16510,00;818,00;13251,00;;;
32;16404,00;769,00;13402,00;;;
33;16344,00;709,00;13405,00;;;
34;16565,00;617,00;13246,00;;;
35;16617,00;662,00;13139,00;;;
36;16409,00;649,00;13353,00;;;
37;16274,00;666,00;13365,00;;;
38;16484,00;548,00;13254,00;;;
39;16619,00;532,00;13124,00;;;
40;16467,00;486,00;13313,00;;;
41;16425,00;529,00;13334,00;;;
42;16274,00;527,00;13471,00;;;
43;16512,00;561,00;13192,00;;;
44;16555,00;531,00;13170,00;;;
